Mes: Agosto				Año: 2026	
Apellido y nombre: 				Legajo: 	
					
DÍA	FECHA	        INGRESO	EGRESO	TOTAL	NOTA
sáb	1/8/2026	08:00	16:00	08:00	Franco
dom	2/8/2026	00:00	00:00	00:00	Franco
lun	3/8/2026	07:00	18:00	11:00	
mar	4/8/2026	07:00	18:00	11:00	
mié	5/8/2026	07:00	18:00	11:00	
jue	6/8/2026	07:00	18:00	11:00	
vie	7/8/2026	07:00	18:00	11:00	
sáb	8/8/2026	00:00	00:00	00:00	Franco
dom	9/8/2026	00:00	00:00	00:00	Franco
lun	10/8/2026	07:00	18:00	11:00	
mar	11/8/2026	07:00	18:00	11:00	
mié	12/8/2026	07:00	18:00	11:00	
jue	13/8/2026	07:00	18:00	11:00	
vie	14/8/2026	07:00	18:00	11:00	
sáb	15/8/2026	00:00	00:00	00:00	Franco
dom	16/8/2026	00:00	00:00	00:00	Franco
lun	17/8/2026	07:00	15:00	08:00	Paso a la Inmortalidad del Gral. Don Martín Miguel de Güemes
mar	18/8/2026	07:00	18:00	11:00	
mié	19/8/2026	07:00	18:00	11:00	
jue	20/8/2026	07:00	18:00	11:00	
vie	21/8/2026	07:00	18:00	11:00	
sáb	22/8/2026	00:00	00:00	00:00	Franco
dom	23/8/2026	00:00	00:00	00:00	Franco
lun	24/8/2026	07:00	18:00	11:00	
mar	25/8/2026	07:00	18:00	11:00	
mié	26/8/2026	07:00	18:00	11:00	
jue	27/8/2026	07:00	18:00	11:00	
vie	28/8/2026	07:00	18:00	11:00	
sáb	29/8/2026	00:00	00:00	00:00	Franco
dom	30/8/2026	00:00	00:00	00:00	Franco
lun	31/8/2026	07:00	18:00	11:00	
					
Total de horas:		236:00:00			
Extras:		20:00:00			
					
Básico de horas					
216:00:00					
